NUMERO FACTURA CLIENTE;CONCEPTO;CLIENTE;PROVINCIA;SECTOR;IMPORTE CLIENTE;FECHA FACTURA CLIENTE;PAGADA CLIENTE;PROVEEDOR;ZONA;TIPO;IMPORTE PROVEEDOR
32;DESARROLLO;CLIENTE-0009;ALICANTE;CONSTRUCCION; 950,00 € ;21/05/2019;SI;PROV-005;ZONA 2;INTERNO; 285,00 € 
33;PROYECTO;CLIENTE-0010;MADRID;BANCA; 1.500,00 € ;15/10/2019;SI;PROV-003;ZONA 2;INTERNO; 450,00 € 
34;EQUIPOS;CLIENTE-0001;MADRID;METAL; 5.000,00 € ;27/09/2021;SI;PROV-005;ZONA 2;INTERNO; 1.500,00 € 
35;CONSULTORIA;CLIENTE-0010;MADRID;BANCA; 6.500,00 € ;27/10/2019;SI;PROV-005;ZONA 2;INTERNO; 1.950,00 € 
36;DESARROLLO;CLIENTE-0001;MADRID;METAL; 8.500,00 € ;22/02/2020;SI;PROV-003;ZONA 2;INTERNO; 2.550,00 € 
37;PROYECTO;CLIENTE-0002;ALICANTE;CONSTRUCCION; 1.200,00 € ;20/10/2021;SI;PROV-005;ZONA 2;INTERNO; 360,00 € 
38;EQUIPOS;CLIENTE-0003;MADRID;CONSTRUCCION; 300,00 € ;16/06/2021;SI;PROV-003;ZONA 2;INTERNO; 90,00 € 
39;PROGRAMA;CLIENTE-0004;MADRID;CONSTRUCCION; 200,00 € ;01/07/2020;SI;PROV-005;ZONA 2;INTERNO; 60,00 € 
40;FORMACION;CLIENTE-0005;BARCELONA;METAL; 150,00 € ;14/11/2019;SI;PROV-005;ZONA 2;INTERNO; 45,00 € 
41;CONSULTORIA;CLIENTE-0006;BARCELONA;BANCA; 120,00 € ;09/05/2019;SI;PROV-003;ZONA 2;INTERNO; 36,00 € 
42;DESARROLLO;CLIENTE-0007;BARCELONA;BANCA; 300,00 € ;26/06/2021;SI;PROV-001;ZONA 1;EXTERNO; 90,00 € 
43;PROYECTO;CLIENTE-0008;ALICANTE;METAL; 350,00 € ;23/02/2019;NO;PROV-002;ZONA 1;EXTERNO; 105,00 € 
44;EQUIPOS;CLIENTE-0009;ALICANTE;CONSTRUCCION; 300,00 € ;05/07/2021;NO;PROV-001;ZONA 1;EXTERNO; 90,00 € 
45;PROGRAMA;CLIENTE-0010;MADRID;BANCA; 120,00 € ;05/07/2021;NO;PROV-005;ZONA 2;INTERNO; 36,00 € 
46;FORMACION;CLIENTE-0004;MADRID;CONSTRUCCION; 150,00 € ;28/11/2021;NO;PROV-003;ZONA 2;INTERNO; 45,00 € 
47;CONSULTORIA;CLIENTE-0005;BARCELONA;METAL; 8.500,00 € ;04/03/2021;NO;PROV-005;ZONA 2;INTERNO; 2.550,00 € 
48;DESARROLLO;CLIENTE-0006;BARCELONA;BANCA; 1.200,00 € ;15/08/2021;NO;PROV-005;ZONA 2;INTERNO; 360,00 € 
49;PROYECTO;CLIENTE-0007;BARCELONA;BANCA; 300,00 € ;06/01/2021;NO;PROV-003;ZONA 2;INTERNO; 90,00 € 
50;EQUIPOS;CLIENTE-0003;MADRID;CONSTRUCCION; 200,00 € ;13/04/2020;SI;PROV-005;ZONA 2;INTERNO; 60,00 € 
51;PROGRAMA;CLIENTE-0004;MADRID;CONSTRUCCION; 150,00 € ;25/06/2020;SI;PROV-003;ZONA 2;INTERNO; 45,00 € 
52;FORMACION;CLIENTE-0005;BARCELONA;METAL; 120,00 € ;29/08/2021;SI;PROV-005;ZONA 2;INTERNO; 36,00 € 
53;CONSULTORIA;CLIENTE-0005;BARCELONA;METAL; 300,00 € ;20/01/2021;SI;PROV-005;ZONA 2;INTERNO; 90,00 € 
54;DESARROLLO;CLIENTE-0006;BARCELONA;BANCA; 350,00 € ;16/12/2021;SI;PROV-003;ZONA 2;INTERNO; 105,00 € 
55;PROYECTO;CLIENTE-0007;BARCELONA;BANCA; 300,00 € ;06/11/2020;SI;PROV-001;ZONA 1;EXTERNO; 90,00 € 
56;EQUIPOS;CLIENTE-0008;ALICANTE;METAL; 120,00 € ;07/12/2021;SI;PROV-002;ZONA 1;EXTERNO; 36,00 € 
57;PROGRAMA;CLIENTE-0009;ALICANTE;CONSTRUCCION; 150,00 € ;07/02/2019;NO;PROV-001;ZONA 1;EXTERNO; 45,00 € 
58;FORMACION;CLIENTE-0010;MADRID;BANCA; 1.200,00 € ;14/07/2019;NO;PROV-004;ZONA 1;EXTERNO; 360,00 € 
59;CONSULTORIA;CLIENTE-0001;MADRID;METAL; 800,00 € ;13/08/2020;NO;PROV-004;ZONA 1;EXTERNO; 240,00 € 
60;DESARROLLO;CLIENTE-0010;MADRID;BANCA; 750,00 € ;22/09/2020;NO;PROV-004;ZONA 1;EXTERNO; 225,00 € 
61;PROYECTO;CLIENTE-0001;MADRID;METAL; 4.500,00 € ;11/05/2021;NO;PROV-004;ZONA 1;EXTERNO; 1.350,00 € 
62;EQUIPOS;CLIENTE-0002;ALICANTE;CONSTRUCCION; 500,00 € ;05/05/2020;NO;PROV-004;ZONA 1;EXTERNO; 150,00 € 
63;PROGRAMA;CLIENTE-0003;MADRID;CONSTRUCCION; 750,00 € ;29/04/2020;SI;PROV-005;ZONA 2;INTERNO; 225,00 € 
64;FORMACION;CLIENTE-0004;MADRID;CONSTRUCCION; 950,00 € ;18/06/2019;SI;PROV-003;ZONA 2;INTERNO; 285,00 € 
65;CONSULTORIA;CLIENTE-0005;BARCELONA;METAL; 680,00 € ;11/02/2021;SI;PROV-005;ZONA 2;INTERNO; 204,00 € 
66;DESARROLLO;CLIENTE-0006;BARCELONA;BANCA; 950,00 € ;14/03/2021;SI;PROV-005;ZONA 2;INTERNO; 285,00 € 
67;PROYECTO;CLIENTE-0007;BARCELONA;BANCA; 1.500,00 € ;05/09/2021;SI;PROV-003;ZONA 2;INTERNO; 450,00 € 
68;EQUIPOS;CLIENTE-0008;ALICANTE;METAL; 5.000,00 € ;21/04/2020;SI;PROV-005;ZONA 2;INTERNO; 1.500,00 € 
69;CONSULTORIA;CLIENTE-0009;ALICANTE;CONSTRUCCION; 6.500,00 € ;02/05/2019;SI;PROV-003;ZONA 2;INTERNO; 1.950,00 € 
70;DESARROLLO;CLIENTE-0010;MADRID;BANCA; 1.200,00 € ;29/04/2019;SI;PROV-005;ZONA 2;INTERNO; 360,00 € 
71;PROYECTO;CLIENTE-0004;MADRID;CONSTRUCCION; 800,00 € ;25/03/2021;SI;PROV-005;ZONA 2;INTERNO; 240,00 € 
72;EQUIPOS;CLIENTE-0005;BARCELONA;METAL; 750,00 € ;26/05/2020;SI;PROV-003;ZONA 2;INTERNO; 225,00 € 
73;PROGRAMA;CLIENTE-0005;BARCELONA;METAL; 4.500,00 € ;22/06/2020;SI;PROV-001;ZONA 1;EXTERNO; 1.125,00 € 
74;FORMACION;CLIENTE-0006;BARCELONA;BANCA; 500,00 € ;04/07/2020;SI;PROV-002;ZONA 1;EXTERNO; 125,00 € 
75;CONSULTORIA;CLIENTE-0007;BARCELONA;BANCA; 750,00 € ;09/12/2020;SI;PROV-001;ZONA 1;EXTERNO; 187,50 € 
76;DESARROLLO;CLIENTE-0008;ALICANTE;METAL; 950,00 € ;27/09/2020;SI;PROV-005;ZONA 2;INTERNO; 237,50 € 
77;PROYECTO;CLIENTE-0009;ALICANTE;CONSTRUCCION; 680,00 € ;09/11/2019;SI;PROV-003;ZONA 2;INTERNO; 170,00 € 
78;EQUIPOS;CLIENTE-0010;MADRID;BANCA; 950,00 € ;27/11/2019;SI;PROV-005;ZONA 2;INTERNO; 237,50 € 
79;PROGRAMA;CLIENTE-0001;MADRID;METAL; 1.500,00 € ;18/06/2019;SI;PROV-005;ZONA 2;INTERNO; 375,00 € 
80;FORMACION;CLIENTE-0010;MADRID;BANCA; 5.000,00 € ;01/04/2021;SI;PROV-003;ZONA 2;INTERNO; 1.250,00 € 
81;CONSULTORIA;CLIENTE-0001;MADRID;METAL; 6.500,00 € ;16/10/2021;SI;PROV-005;ZONA 2;INTERNO; 1.625,00 € 
82;DESARROLLO;CLIENTE-0002;ALICANTE;CONSTRUCCION; 8.500,00 € ;09/09/2019;SI;PROV-003;ZONA 2;INTERNO; 2.125,00 € 
83;PROYECTO;CLIENTE-0003;MADRID;CONSTRUCCION; 1.200,00 € ;26/12/2020;SI;PROV-005;ZONA 2;INTERNO; 300,00 € 
84;EQUIPOS;CLIENTE-0004;MADRID;CONSTRUCCION; 300,00 € ;11/07/2019;NO;PROV-005;ZONA 2;INTERNO; 75,00 € 
85;PROGRAMA;CLIENTE-0005;BARCELONA;METAL; 200,00 € ;22/02/2019;NO;PROV-003;ZONA 2;INTERNO; 50,00 € 
86;FORMACION;CLIENTE-0006;BARCELONA;BANCA; 150,00 € ;25/01/2020;NO;PROV-001;ZONA 1;EXTERNO; 37,50 € 
87;CONSULTORIA;CLIENTE-0007;BARCELONA;BANCA; 120,00 € ;09/10/2020;NO;PROV-002;ZONA 1;EXTERNO; 30,00 € 
88;DESARROLLO;CLIENTE-0008;ALICANTE;METAL; 300,00 € ;11/05/2021;NO;PROV-001;ZONA 1;EXTERNO; 75,00 € 
89;DESARROLLO;CLIENTE-0009;ALICANTE;CONSTRUCCION; 350,00 € ;19/09/2019;NO;PROV-004;ZONA 1;EXTERNO; 87,50 € 
90;PROYECTO;CLIENTE-0010;MADRID;BANCA; 300,00 € ;29/07/2019;NO;PROV-004;ZONA 1;EXTERNO; 75,00 € 
91;EQUIPOS;CLIENTE-0004;MADRID;CONSTRUCCION; 120,00 € ;12/09/2019;SI;PROV-004;ZONA 1;EXTERNO; 30,00 € 
92;PROGRAMA;CLIENTE-0005;BARCELONA;METAL; 150,00 € ;13/12/2021;SI;PROV-004;ZONA 1;EXTERNO; 37,50 € 
93;FORMACION;CLIENTE-0006;BARCELONA;BANCA; 1.200,00 € ;08/07/2020;SI;PROV-004;ZONA 1;EXTERNO; 300,00 € 
94;CONSULTORIA;CLIENTE-0007;BARCELONA;BANCA; 800,00 € ;19/07/2020;SI;PROV-005;ZONA 2;INTERNO; 200,00 € 
95;DESARROLLO;CLIENTE-0003;MADRID;CONSTRUCCION; 750,00 € ;23/10/2020;SI;PROV-003;ZONA 2;INTERNO; 187,50 € 
96;PROYECTO;CLIENTE-0004;MADRID;CONSTRUCCION; 4.500,00 € ;14/10/2019;SI;PROV-005;ZONA 2;INTERNO; 1.125,00 € 
97;EQUIPOS;CLIENTE-0005;BARCELONA;METAL; 500,00 € ;16/11/2019;SI;PROV-005;ZONA 2;INTERNO; 125,00 € 
98;PROGRAMA;CLIENTE-0005;BARCELONA;METAL; 750,00 € ;25/03/2020;SI;PROV-003;ZONA 2;INTERNO; 187,50 € 
99;FORMACION;CLIENTE-0006;BARCELONA;BANCA; 950,00 € ;19/04/2021;SI;PROV-005;ZONA 2;INTERNO; 237,50 € 
100;CONSULTORIA;CLIENTE-0007;BARCELONA;BANCA; 680,00 € ;26/10/2021;SI;PROV-003;ZONA 2;INTERNO; 170,00 € 
101;DESARROLLO;CLIENTE-0008;ALICANTE;METAL; 950,00 € ;20/03/2020;SI;PROV-005;ZONA 2;INTERNO; 237,50 € 
102;PROYECTO;CLIENTE-0009;ALICANTE;CONSTRUCCION; 1.500,00 € ;01/04/2021;SI;PROV-005;ZONA 2;INTERNO; 375,00 € 
103;EQUIPOS;CLIENTE-0010;MADRID;BANCA; 5.000,00 € ;08/02/2020;SI;PROV-003;ZONA 2;INTERNO; 1.250,00 € 
104;CONSULTORIA;CLIENTE-0001;MADRID;METAL; 6.500,00 € ;21/06/2021;SI;PROV-001;ZONA 1;EXTERNO; 1.625,00 € 
105;DESARROLLO;CLIENTE-0010;MADRID;BANCA; 8.500,00 € ;10/01/2021;SI;PROV-002;ZONA 1;EXTERNO; 2.125,00 € 
106;PROYECTO;CLIENTE-0001;MADRID;METAL; 1.200,00 € ;01/03/2020;SI;PROV-001;ZONA 1;EXTERNO; 300,00 € 
107;EQUIPOS;CLIENTE-0002;ALICANTE;CONSTRUCCION; 300,00 € ;06/09/2020;SI;PROV-005;ZONA 2;INTERNO; 75,00 € 
108;PROGRAMA;CLIENTE-0003;MADRID;CONSTRUCCION; 200,00 € ;18/12/2020;SI;PROV-003;ZONA 2;INTERNO; 80,00 € 
109;FORMACION;CLIENTE-0004;MADRID;CONSTRUCCION; 150,00 € ;14/03/2019;SI;PROV-005;ZONA 2;INTERNO; 60,00 € 
110;CONSULTORIA;CLIENTE-0005;BARCELONA;METAL; 120,00 € ;07/09/2020;SI;PROV-005;ZONA 2;INTERNO; 48,00 € 
111;DESARROLLO;CLIENTE-0006;BARCELONA;BANCA; 300,00 € ;05/12/2020;NO;PROV-003;ZONA 2;INTERNO; 120,00 € 
112;PROYECTO;CLIENTE-0007;BARCELONA;BANCA; 350,00 € ;16/05/2020;NO;PROV-005;ZONA 2;INTERNO; 140,00 € 
113;EQUIPOS;CLIENTE-0008;ALICANTE;METAL; 300,00 € ;07/07/2021;NO;PROV-003;ZONA 2;INTERNO; 120,00 € 
114;PROGRAMA;CLIENTE-0009;ALICANTE;CONSTRUCCION; 120,00 € ;14/10/2019;NO;PROV-005;ZONA 2;INTERNO; 48,00 € 
115;PROYECTO;CLIENTE-0010;MADRID;BANCA; 150,00 € ;25/06/2020;NO;PROV-005;ZONA 2;INTERNO; 60,00 € 
116;EQUIPOS;CLIENTE-0004;MADRID;CONSTRUCCION; 8.500,00 € ;15/02/2021;NO;PROV-003;ZONA 2;INTERNO; 3.400,00 € 
117;PROGRAMA;CLIENTE-0005;BARCELONA;METAL; 1.200,00 € ;30/06/2020;NO;PROV-001;ZONA 1;EXTERNO; 480,00 € 
118;FORMACION;CLIENTE-0005;BARCELONA;METAL; 300,00 € ;12/12/2019;SI;PROV-002;ZONA 1;EXTERNO; 120,00 € 
119;CONSULTORIA;CLIENTE-0006;BARCELONA;BANCA; 200,00 € ;07/10/2019;SI;PROV-001;ZONA 1;EXTERNO; 80,00 € 
120;DESARROLLO;CLIENTE-0007;BARCELONA;BANCA; 150,00 € ;29/10/2020;SI;PROV-004;ZONA 1;EXTERNO; 60,00 € 
121;PROYECTO;CLIENTE-0008;ALICANTE;METAL; 120,00 € ;31/12/2020;SI;PROV-004;ZONA 1;EXTERNO; 48,00 € 
122;EQUIPOS;CLIENTE-0009;ALICANTE;CONSTRUCCION; 300,00 € ;30/05/2019;SI;PROV-004;ZONA 1;EXTERNO; 120,00 € 
123;CONSULTORIA;CLIENTE-0010;MADRID;BANCA; 350,00 € ;24/11/2021;SI;PROV-004;ZONA 1;EXTERNO; 140,00 € 
124;DESARROLLO;CLIENTE-0001;MADRID;METAL; 300,00 € ;23/06/2019;SI;PROV-004;ZONA 1;EXTERNO; 120,00 € 
125;PROYECTO;CLIENTE-0010;MADRID;BANCA; 120,00 € ;25/04/2020;SI;PROV-003;ZONA 2;INTERNO; 48,00 € 
126;EQUIPOS;CLIENTE-0001;MADRID;METAL; 150,00 € ;05/01/2019;SI;PROV-005;ZONA 2;INTERNO; 60,00 € 
127;PROGRAMA;CLIENTE-0002;ALICANTE;CONSTRUCCION; 1.200,00 € ;27/02/2020;SI;PROV-005;ZONA 2;INTERNO; 480,00 € 
128;FORMACION;CLIENTE-0003;MADRID;CONSTRUCCION; 800,00 € ;02/07/2021;SI;PROV-003;ZONA 2;INTERNO; 320,00 € 
129;CONSULTORIA;CLIENTE-0004;MADRID;CONSTRUCCION; 750,00 € ;18/07/2019;SI;PROV-005;ZONA 2;INTERNO; 300,00 € 
130;DESARROLLO;CLIENTE-0005;BARCELONA;METAL; 4.500,00 € ;08/12/2020;SI;PROV-003;ZONA 2;INTERNO; 1.800,00 € 
131;PROYECTO;CLIENTE-0006;BARCELONA;BANCA; 500,00 € ;28/03/2020;SI;PROV-005;ZONA 2;INTERNO; 200,00 € 
132;EQUIPOS;CLIENTE-0007;BARCELONA;BANCA; 750,00 € ;14/07/2021;SI;PROV-005;ZONA 2;INTERNO; 300,00 € 
133;PROGRAMA;CLIENTE-0008;ALICANTE;METAL; 950,00 € ;28/02/2021;SI;PROV-003;ZONA 2;INTERNO; 380,00 € 
134;FORMACION;CLIENTE-0009;ALICANTE;CONSTRUCCION; 680,00 € ;25/02/2019;SI;PROV-001;ZONA 1;EXTERNO; 272,00 € 
135;CONSULTORIA;CLIENTE-0010;MADRID;BANCA; 950,00 € ;15/05/2021;SI;PROV-002;ZONA 1;EXTERNO; 380,00 € 
136;DESARROLLO;CLIENTE-0004;MADRID;CONSTRUCCION; 1.500,00 € ;09/06/2021;SI;PROV-001;ZONA 1;EXTERNO; 600,00 € 
137;PROYECTO;CLIENTE-0005;BARCELONA;METAL; 5.000,00 € ;30/12/2020;SI;PROV-005;ZONA 2;INTERNO; 2.000,00 € 
138;EQUIPOS;CLIENTE-0006;BARCELONA;BANCA; 6.500,00 € ;07/07/2019;SI;PROV-003;ZONA 2;INTERNO; 2.600,00 € 
139;PROGRAMA;CLIENTE-0007;BARCELONA;BANCA; 1.200,00 € ;16/11/2021;NO;PROV-005;ZONA 2;INTERNO; 480,00 € 
140;FORMACION;CLIENTE-0003;MADRID;CONSTRUCCION; 800,00 € ;03/01/2021;NO;PROV-005;ZONA 2;INTERNO; 320,00 € 
141;CONSULTORIA;CLIENTE-0004;MADRID;CONSTRUCCION; 750,00 € ;04/09/2019;NO;PROV-003;ZONA 2;INTERNO; 300,00 € 
142;DESARROLLO;CLIENTE-0005;BARCELONA;METAL; 4.500,00 € ;27/02/2021;NO;PROV-005;ZONA 2;INTERNO; 2.025,00 € 
143;PROYECTO;CLIENTE-0005;BARCELONA;METAL; 500,00 € ;16/03/2020;NO;PROV-003;ZONA 2;INTERNO; 225,00 € 
144;EQUIPOS;CLIENTE-0006;BARCELONA;BANCA; 750,00 € ;08/10/2020;NO;PROV-005;ZONA 2;INTERNO; 337,50 € 
145;PROGRAMA;CLIENTE-0007;BARCELONA;BANCA; 950,00 € ;01/05/2021;NO;PROV-005;ZONA 2;INTERNO; 427,50 € 
146;FORMACION;CLIENTE-0008;ALICANTE;METAL; 680,00 € ;20/12/2021;SI;PROV-003;ZONA 2;INTERNO; 306,00 € 
147;CONSULTORIA;CLIENTE-0009;ALICANTE;CONSTRUCCION; 950,00 € ;21/12/2019;SI;PROV-001;ZONA 1;EXTERNO; 427,50 € 
148;DESARROLLO;CLIENTE-0010;MADRID;BANCA; 1.500,00 € ;06/02/2021;SI;PROV-002;ZONA 1;EXTERNO; 675,00 € 
149;PROYECTO;CLIENTE-0001;MADRID;METAL; 5.000,00 € ;18/03/2021;SI;PROV-001;ZONA 1;EXTERNO; 2.250,00 € 
150;EQUIPOS;CLIENTE-0010;MADRID;BANCA; 6.500,00 € ;29/06/2019;SI;PROV-004;ZONA 1;EXTERNO; 2.925,00 € 
151;PROGRAMA;CLIENTE-0001;MADRID;METAL; 8.500,00 € ;05/11/2020;SI;PROV-004;ZONA 1;EXTERNO; 3.825,00 € 
152;FORMACION;CLIENTE-0002;ALICANTE;CONSTRUCCION; 1.200,00 € ;20/03/2019;SI;PROV-004;ZONA 1;EXTERNO; 540,00 € 
153;CONSULTORIA;CLIENTE-0003;MADRID;CONSTRUCCION; 300,00 € ;31/08/2019;NO;PROV-004;ZONA 1;EXTERNO; 135,00 € 
154;DESARROLLO;CLIENTE-0004;MADRID;CONSTRUCCION; 200,00 € ;26/08/2020;NO;PROV-004;ZONA 1;EXTERNO; 90,00 € 
155;PROYECTO;CLIENTE-0005;BARCELONA;METAL; 150,00 € ;26/01/2021;NO;PROV-005;ZONA 2;INTERNO; 67,50 € 
156;EQUIPOS;CLIENTE-0006;BARCELONA;BANCA; 120,00 € ;04/09/2021;NO;PROV-003;ZONA 2;INTERNO; 54,00 € 
157;CONSULTORIA;CLIENTE-0007;BARCELONA;BANCA; 300,00 € ;05/06/2020;NO;PROV-005;ZONA 2;INTERNO; 135,00 € 
158;DESARROLLO;CLIENTE-0008;ALICANTE;METAL; 350,00 € ;28/03/2021;NO;PROV-005;ZONA 2;INTERNO; 157,50 € 
159;PROYECTO;CLIENTE-0009;ALICANTE;CONSTRUCCION; 300,00 € ;01/08/2019;SI;PROV-003;ZONA 2;INTERNO; 135,00 € 
160;EQUIPOS;CLIENTE-0010;MADRID;BANCA; 120,00 € ;31/05/2020;SI;PROV-005;ZONA 2;INTERNO; 54,00 € 
161;PROGRAMA;CLIENTE-0004;MADRID;CONSTRUCCION; 150,00 € ;29/03/2020;SI;PROV-003;ZONA 2;INTERNO; 67,50 € 
162;FORMACION;CLIENTE-0005;BARCELONA;METAL; 1.200,00 € ;10/05/2021;SI;PROV-005;ZONA 2;INTERNO; 540,00 € 
163;CONSULTORIA;CLIENTE-0005;BARCELONA;METAL; 800,00 € ;02/09/2020;SI;PROV-005;ZONA 2;INTERNO; 360,00 € 
164;DESARROLLO;CLIENTE-0006;BARCELONA;BANCA; 750,00 € ;13/09/2021;SI;PROV-003;ZONA 2;INTERNO; 337,50 € 
165;PROYECTO;CLIENTE-0007;BARCELONA;BANCA; 4.500,00 € ;17/02/2021;SI;PROV-001;ZONA 1;EXTERNO; 2.025,00 € 
166;EQUIPOS;CLIENTE-0008;ALICANTE;METAL; 500,00 € ;15/03/2019;SI;PROV-002;ZONA 1;EXTERNO; 225,00 € 
167;PROGRAMA;CLIENTE-0009;ALICANTE;CONSTRUCCION; 750,00 € ;10/09/2021;SI;PROV-001;ZONA 1;EXTERNO; 225,00 € 
168;FORMACION;CLIENTE-0010;MADRID;BANCA; 950,00 € ;16/06/2019;SI;PROV-005;ZONA 2;INTERNO; 285,00 € 
169;CONSULTORIA;CLIENTE-0001;MADRID;METAL; 680,00 € ;22/06/2019;SI;PROV-003;ZONA 2;INTERNO; 204,00 € 
170;DESARROLLO;CLIENTE-0010;MADRID;BANCA; 950,00 € ;16/07/2019;SI;PROV-005;ZONA 2;INTERNO; 285,00 € 
171;PROYECTO;CLIENTE-0001;MADRID;METAL; 1.500,00 € ;17/09/2020;SI;PROV-005;ZONA 2;INTERNO; 450,00 € 
172;EQUIPOS;CLIENTE-0002;ALICANTE;CONSTRUCCION; 5.000,00 € ;23/12/2019;SI;PROV-003;ZONA 2;INTERNO; 1.500,00 € 
173;PROGRAMA;CLIENTE-0003;MADRID;CONSTRUCCION; 6.500,00 € ;03/11/2021;SI;PROV-005;ZONA 2;INTERNO; 1.950,00 € 
174;FORMACION;CLIENTE-0004;MADRID;CONSTRUCCION; 8.500,00 € ;23/09/2021;SI;PROV-003;ZONA 2;INTERNO; 2.550,00 € 
175;CONSULTORIA;CLIENTE-0005;BARCELONA;METAL; 1.200,00 € ;10/11/2020;SI;PROV-005;ZONA 2;INTERNO; 360,00 € 
